19-04-19.15:52:31.479 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/schema/ApiModelBuilder.class]
19-04-19.15:52:31.495 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/schema/ApiModelPropertyPropertyBuilder.class]
19-04-19.15:52:31.496 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/schema/ApiModelTypeNameProvider.class]
19-04-19.15:52:31.504 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationAuthReader.class]
19-04-19.15:52:31.505 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationHiddenReader.class]
19-04-19.15:52:31.507 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationHttpMethodReader.class]
19-04-19.15:52:31.508 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationImplicitParameterReader.class]
19-04-19.15:52:31.509 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationImplicitParametersReader.class]
19-04-19.15:52:31.511 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationNicknameIntoUniqueIdReader.class]
19-04-19.15:52:31.512 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationNotesReader.class]
19-04-19.15:52:31.513 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationPositionReader.class]
19-04-19.15:52:31.514 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/OperationSummaryReader.class]
19-04-19.15:52:31.515 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-swagger-common/2.2.2/springfox-swagger-common-2.2.2.jar!/springfox/documentation/swagger/readers/operation/SwaggerMediaTypeReader.class]
